task_key,change,task,impl_provider,impl_model,impl_effort,n_impl_sessions,impl_total_tokens,impl_output_tokens,peak_context,n_compactions,n_tool_calls,brief_bytes,n_reviews,C1,C2,C3,C4,C5,C6,C7,composite,G1,G2,G3,G4,G5,n_critical,n_important,n_minor,rounds_to_accept,final_grade,ph_orient,ph_explore,ph_red,ph_green,ph_refactor,ph_verify,ph_debug,ph_selfcheck,ph_report,ph_other
add-target-center-alpha__task-1,add-target-center-alpha,task-1,codex,gpt-5.6-luna,medium,2,1463938,10118,58893,0,0,4999,2,1,3,2,2,2,1,1,1.8,3,5,5,3,5,0,1,0,2,B,518,3779,725,0,0,0,0,0,598,300
add-target-center-alpha__task-2,add-target-center-alpha,task-2,codex,gpt-5.6-luna,medium,1,1767113,9022,84388,0,0,2222,1,2,3,4,2,2,2,1,2.5,5,5,5,5,5,0,0,0,1,A,271,254,0,1236,0,1258,0,0,2219,0
add-target-center-alpha__task-3,add-target-center-alpha,task-3,codex,gpt-5.6-luna,medium,1,389540,5446,35377,0,0,3004,1,2,2,2,1,2,2,1,1.8,5,5,5,5,5,0,0,0,1,A,353,204,0,0,0,1397,0,0,675,837
complete-generic-juce-ui-backend__task-1,complete-generic-juce-ui-backend,task-1,codex,gpt-5.6-sol,high,1,7688916,25221,141597,0,16,,0,,,,,,,,,,,,,,,,,,,3220,0,549,381,0,372,243,685,0,10165
complete-generic-juce-ui-backend__task-2,complete-generic-juce-ui-backend,task-2,codex,gpt-5.6-sol,high,1,5309241,16475,108351,0,18,,0,,,,,,,,,,,,,,,,,,,707,0,3247,3974,0,460,308,0,202,4170
complete-generic-juce-ui-backend__task-3,complete-generic-juce-ui-backend,task-3,codex,gpt-5.6-sol,high,1,15646159,25177,202111,0,3,,0,,,,,,,,,,,,,,,,,,,542,0,3026,857,0,1345,1538,0,303,3477
configure-dictator-audio-input__task-2,configure-dictator-audio-input,task-2,codex,gpt-5.5,medium,1,1829470,13729,90685,0,30,,3,3,3,3,3,3,3,3,3.0,5,4,5,4,5,0,1,0,3,B,383,8095,863,543,0,162,2073,910,700,0
configure-dictator-audio-input__task-3,configure-dictator-audio-input,task-3,codex,gpt-5.5,medium,1,1364765,9991,108835,0,30,,0,3,4,2,3,3,3,3,3.0,,,,,,,,,,,376,2433,2332,1655,0,1092,0,0,988,0
decouple-encoder-block-rate__task-1,decouple-encoder-block-rate,task-1,codex,gpt-5-codex,high,2,2597002,12172,100759,0,51,5889,2,2,3,2,2,2,2,1,2.2,4,5,4,4,4,0,0,5,1,A,1879,1465,2061,853,0,1926,586,2463,648,0
decouple-encoder-block-rate__task-2,decouple-encoder-block-rate,task-2,codex,gpt-5.5,high,2,2967240,19244,84134,0,77,4640,2,2,3,3,3,3,3,1,2.8,5,5,4,4,5,0,1,2,2,B,838,2567,0,3730,0,519,7266,2161,1355,0
decouple-encoder-block-rate__task-3,decouple-encoder-block-rate,task-3,codex,gpt-5.5,high,1,1273729,8404,73684,0,44,2239,1,2,3,2,3,2,3,1,2.5,5,5,4,5,5,0,0,1,1,A,529,2814,899,168,0,544,893,1292,1265,0
decouple-encoder-block-rate__task-4,decouple-encoder-block-rate,task-4,codex,gpt-5.5,high,2,2138994,12732,78269,0,65,1682,0,1,2,1,3,1,3,1,1.8,,,,,,,,,,,918,2368,0,619,0,2739,2587,1779,1567,155
filter-braid4-parameter-values__task-1,filter-braid4-parameter-values,task-1,codex,gpt-5.6-terra,high,2,1770247,13202,68325,0,8,4236,1,2,4,3,3,3,3,2,3.0,5,5,4,4,5,0,0,2,1,A,193,2416,2190,1876,0,238,0,496,1721,0
filter-braid4-parameter-values__task-2,filter-braid4-parameter-values,task-2,codex,gpt-5.6-terra,high,1,1793037,13545,101489,0,2,4043,1,3,4,4,4,3,4,2,3.7,5,5,4,4,5,0,0,2,1,A,553,1454,2156,618,0,0,0,2987,1481,0
filter-braid4-parameter-values__task-3,filter-braid4-parameter-values,task-3,codex,gpt-5.6-sol,high,1,3227226,19462,134255,0,3,5593,1,2,5,5,4,4,4,2,4.0,5,5,4,5,5,0,0,2,1,A,483,728,4437,3865,0,571,0,1227,2253,0
filter-braid4-parameter-values__task-4,filter-braid4-parameter-values,task-4,codex,gpt-5.6-terra,high,1,1686829,13487,84846,0,3,2566,1,2,2,1,4,1,4,2,2.3,5,5,4,5,5,0,0,1,1,A,379,1509,0,0,0,1453,311,774,5959,0
fix-agent-review-hunk-navigation__task-2,fix-agent-review-hunk-navigation,task-2,codex,gpt-5.5,high,1,882503,8795,90163,0,21,,1,2,3,3,3,3,3,3,2.8,5,5,5,5,5,0,0,0,1,A,1144,0,0,0,0,0,0,0,1001,6650
fix-agent-review-hunk-navigation__task-3,fix-agent-review-hunk-navigation,task-3,codex,gpt-5.5,high,1,1751232,11570,104385,0,33,,0,2,3,3,2,3,2,3,2.5,,,,,,,,,,,531,4384,2236,396,0,1508,234,1239,1042,0
fix-agent-review-hunk-navigation__task-4,fix-agent-review-hunk-navigation,task-4,codex,gpt-5.5,high,1,6311295,43677,160749,0,72,,3,2,3,4,3,4,4,4,3.3,5,5,5,5,5,0,0,0,1,A,2533,6763,13138,240,10407,2284,1982,1034,2177,0
fix-browser-native-audio-and-generic-app-packaging__task-1,fix-browser-native-audio-and-generic-app-packaging,task-1,codex,gpt-5.6-sol,high,2,18371969,74833,227492,2,17,7428,2,5,5,4,5,5,5,2,4.8,4,4,3,3,5,0,0,6,1,B,1105,22281,19212,2475,0,1718,1480,4958,3701,700
fix-browser-native-audio-and-generic-app-packaging__task-2,fix-browser-native-audio-and-generic-app-packaging,task-2,codex,gpt-5.6-sol,high,2,17250423,79467,167286,0,14,5548,2,5,4,3,4,3,4,2,3.8,5,4,3,5,5,0,0,3,1,B,1319,17766,20241,15210,0,1630,1012,4724,331,395
fix-browser-native-audio-and-generic-app-packaging__task-3,fix-browser-native-audio-and-generic-app-packaging,task-3,codex,gpt-5.6-sol,xhigh,2,31091291,117783,221655,2,32,4219,2,4,4,4,3,3,3,2,3.5,5,5,3,5,5,0,0,3,1,B,1022,26277,26400,11588,0,3311,3972,3176,5652,3250
fix-browser-native-audio-and-generic-app-packaging__task-4,fix-browser-native-audio-and-generic-app-packaging,task-4,codex,gpt-5.6-sol,xhigh,2,28325746,93304,209765,0,24,4215,2,4,4,3,4,5,5,3,4.2,5,4,3,5,5,0,0,3,1,B,1375,12390,17931,19109,0,8104,1924,2648,2428,2401
fix-browser-native-audio-and-generic-app-packaging__task-5,fix-browser-native-audio-and-generic-app-packaging,task-5,codex,gpt-5.6-sol,high,2,17615614,49857,182535,0,25,2048,1,3,3,1,2,1,4,2,2.3,,,,,,,,,,,565,4386,8522,769,0,2754,1702,2085,2504,905
fix-browser-native-audio-and-generic-app-packaging__task-6,fix-browser-native-audio-and-generic-app-packaging,task-6,codex,gpt-5.6-sol,xhigh,2,48859985,110885,233322,4,109,3792,3,3,3,4,5,4,5,4,4.0,5,5,3,4,5,0,0,4,1,B,1460,27507,14022,922,0,9531,19198,0,1556,3563
fix-browser-native-audio-and-generic-app-packaging__task-7,fix-browser-native-audio-and-generic-app-packaging,task-7,codex,gpt-5.6-sol,xhigh,1,16063482,69056,221693,2,15,5000,1,4,3,4,4,4,4,3,3.8,,,,,,,,,,,1833,28679,9408,0,0,1504,2441,532,2845,2197
fix-browser-native-audio-and-generic-app-packaging__task-8,fix-browser-native-audio-and-generic-app-packaging,task-8,codex,gpt-5.6-terra,medium,1,2630780,13907,120247,0,6,4843,1,3,3,1,2,1,4,2,2.3,5,5,5,5,5,0,0,0,1,A,260,3306,0,0,0,168,1186,0,5689,522
fix-browser-native-audio-and-generic-app-packaging__task-9,fix-browser-native-audio-and-generic-app-packaging,task-9,codex,gpt-5.6-sol,xhigh,1,20314629,40451,228693,2,9,5570,1,3,4,3,5,5,5,3,4.2,,,,,,,,,,,769,4527,259,0,0,3236,4864,2535,217,7894
midi-config-blocks__p1-task-1,midi-config-blocks,p1-task-1,claude,claude-sonnet-5,,1,4052541,20385,84983,0,37,,3,3,3,3,3,2,3,2,2.8,2,3,5,3,4,0,1,0,,B,1119,10920,0,3881,0,0,0,0,4465,0
midi-config-blocks__p1-task-2,midi-config-blocks,p1-task-2,claude,claude-sonnet-5,,1,7509244,25570,126325,0,44,,1,2,3,3,2,2,3,2,2.5,5,4,4,4,5,0,0,2,1,A,225,2141,6168,1810,0,256,10866,4,4100,0
midi-config-blocks__p1-task-3,midi-config-blocks,p1-task-3,claude,claude-sonnet-5,,1,54583450,76743,296808,0,172,,1,4,4,3,4,3,4,3,3.7,2,5,5,4,5,0,1,1,,B,49,17506,0,47975,0,1313,1,425,6979,2495
midi-config-blocks__p1-task-4,midi-config-blocks,p1-task-4,claude,claude-sonnet-5,,1,31947708,50275,237911,0,110,,5,4,5,4,4,4,4,2,4.2,2,1,4,4,2,2,0,1,3,F,3747,14546,0,20834,0,3742,0,0,7406,0
midi-config-blocks__p2-task-1,midi-config-blocks,p2-task-1,claude,claude-sonnet-5,,1,7199943,19822,102500,0,61,,1,4,4,2,3,2,3,2,3.0,4,5,4,4,5,0,0,2,1,A,2136,5548,0,5550,0,6588,0,0,0,0
midi-config-blocks__p2-task-2,midi-config-blocks,p2-task-2,claude,claude-sonnet-5,,1,78974010,85140,312586,0,242,,1,3,4,4,4,3,4,2,3.7,5,5,4,5,5,0,0,1,1,A,7039,25708,0,29402,0,13741,6481,0,2769,0
midi-config-blocks__p2-task-3,midi-config-blocks,p2-task-3,claude,claude-sonnet-5,,1,3383383,19310,85949,0,29,,3,3,2,4,1,1,2,2,2.2,2,2,5,4,5,0,2,2,2,C,8,1092,0,2735,0,659,0,1,2569,12246
midi-config-blocks__p3-task-1,midi-config-blocks,p3-task-1,claude,claude-sonnet-5,,1,7202172,21732,105302,0,60,,3,3,3,4,2,4,3,2,3.2,5,2,4,4,4,0,3,2,,C,15,3839,0,4946,0,1488,1,87,5377,5979
midi-config-blocks__p3-task-2,midi-config-blocks,p3-task-2,claude,claude-sonnet-5,,1,47386257,88981,296818,0,148,,3,4,5,4,5,4,5,3,4.5,3,1,5,4,5,1,2,1,2,F,5768,30559,0,34828,0,15193,0,0,2633,0
midi-config-blocks__p3-task-3,midi-config-blocks,p3-task-3,claude,claude-sonnet-5,,1,13017429,27850,153262,0,67,,3,3,4,4,4,4,4,3,3.8,3,3,4,4,5,0,2,2,2,C,3426,9008,0,5551,0,7630,0,0,2235,0
midi-config-blocks__p4-task-1,midi-config-blocks,p4-task-1,claude,claude-sonnet-5,,1,17688894,48635,169719,0,96,,5,3,2,3,3,4,4,2,3.2,2,2,4,2,2,0,7,2,,D,31,10395,0,7410,0,1419,0,5,6801,22574
midi-config-blocks__p4-task-2,midi-config-blocks,p4-task-2,claude,claude-sonnet-5,,1,6400405,20537,108708,0,45,,1,3,4,2,3,5,4,2,3.5,5,5,4,5,5,0,0,2,1,A,220,10628,2587,3985,0,1335,331,177,1274,0
midi-config-blocks__p4-task-3,midi-config-blocks,p4-task-3,claude,claude-sonnet-5,,1,20370943,45214,186736,0,89,,2,3,4,3,4,5,4,2,3.8,5,3,4,4,4,0,1,2,,C,33,9165,0,17002,0,535,1,18,4255,14205
